epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,62714.8,0.79129,0.87946,1.26653,0.8894,0.85817,0.90556,0.68634,0.89166,0.90387,1.39075,0.000185335,0.000185335,0.000185335
128,63208.2,0.79346,0.87497,1.2661,0.88884,0.85948,0.9058,0.6866,0.89175,0.90367,1.39077,0.000184055,0.000184055,0.000184055
129,63701.9,0.79444,0.8874,1.26889,0.88582,0.86248,0.90589,0.68673,0.89158,0.90222,1.39114,0.000182772,0.000182772,0.000182772
130,64196.9,0.783,0.86332,1.2586,0.88858,0.86203,0.90621,0.68685,0.8914,0.9022,1.39139,0.000181486,0.000181486,0.000181486
131,64697.6,0.78601,0.87412,1.25854,0.8967,0.85522,0.90695,0.68745,0.89135,0.90262,1.3915,0.000180197,0.000180197,0.000180197
132,65187.7,0.7832,0.8678,1.25526,0.8961,0.8561,0.90723,0.68755,0.89133,0.90235,1.39177,0.000178905,0.000178905,0.000178905
133,65677.9,0.77785,0.85664,1.25044,0.89513,0.8564,0.90709,0.68865,0.89053,0.9024,1.39112,0.00017761,0.00017761,0.00017761
134,66167.8,0.78297,0.86359,1.26166,0.90173,0.84884,0.90711,0.689,0.89026,0.90275,1.3915,0.000176313,0.000176313,0.000176313
135,66660.2,0.77522,0.85038,1.2523,0.89927,0.85209,0.90744,0.68944,0.88948,0.90133,1.39104,0.000175013,0.000175013,0.000175013
136,67151.1,0.776,0.85818,1.25101,0.89401,0.85669,0.90755,0.68929,0.88868,0.89998,1.39074,0.000173711,0.000173711,0.000173711
137,67641.8,0.76785,0.86066,1.24875,0.88844,0.86297,0.90752,0.68987,0.88829,0.89995,1.39095,0.000172406,0.000172406,0.000172406
138,68132.4,0.76994,0.85596,1.2484,0.89205,0.85733,0.90788,0.69059,0.88813,0.89811,1.3913,0.0001711,0.0001711,0.0001711
139,68623.1,0.76976,0.85882,1.24848,0.88588,0.86451,0.90794,0.69143,0.88769,0.89771,1.39149,0.000169792,0.000169792,0.000169792
140,69115.6,0.76543,0.84313,1.24446,0.8856,0.86519,0.90799,0.69169,0.88705,0.89829,1.39152,0.000168482,0.000168482,0.000168482
141,69606.5,0.76422,0.84032,1.2402,0.88794,0.8632,0.908,0.69195,0.88676,0.89814,1.39155,0.000167171,0.000167171,0.000167171
142,70096.9,0.76456,0.84458,1.24581,0.87821,0.87148,0.90808,0.69235,0.88617,0.89843,1.39161,0.000165858,0.000165858,0.000165858
143,70587.3,0.75978,0.83841,1.23902,0.89104,0.85946,0.90824,0.69286,0.88611,0.89953,1.3921,0.000164543,0.000164543,0.000164543
144,71078.1,0.75067,0.82793,1.2359,0.89398,0.85629,0.90884,0.69326,0.88586,0.89865,1.39258,0.000163228,0.000163228,0.000163228
145,71570.9,0.75572,0.83303,1.23573,0.89511,0.85502,0.90904,0.69323,0.88528,0.89895,1.39274,0.000161912,0.000161912,0.000161912
146,72061.3,0.75337,0.83382,1.23446,0.89559,0.85549,0.90905,0.69361,0.88483,0.89982,1.39265,0.000160594,0.000160594,0.000160594
147,72552.1,0.74928,0.82769,1.23228,0.9031,0.85239,0.90933,0.6941,0.88457,0.89773,1.39329,0.000159276,0.000159276,0.000159276
148,73043,0.74681,0.83028,1.22853,0.90522,0.85071,0.90951,0.69449,0.88423,0.89633,1.3936,0.000157958,0.000157958,0.000157958
149,73535,0.74849,0.83339,1.23117,0.9055,0.85089,0.90961,0.69468,0.88383,0.89484,1.39375,0.000156639,0.000156639,0.000156639
